Name,Proper Name,MasTrack Name,Branch,Hospital System,Hospital System Proper,Address,Latitude,Longitude,Item Type,Path
GLASTONBURY SURG CTR LLC,Glastonbury Surg Center Llc,Glastonbury Surg Center Llc,ANC East Hartford (F01),GLASTONBURY SURG CTR LLC,Glastonbury Surg Center Llc,"195 Eastern Blvd, Glastonbury, CT 06033",42.1248082,-72.5857784,Item,sites/AnalyticsTeam/Lists/CT Destinations
GLASTONBURY SURG CTR LLC - WRIGHT/TORNIER,Glastonbury Surg Center Llc,Glastonbury Surg Center Llc,Hartford Hub,GLASTONBURY SURG CTR LLC,Glastonbury Surg Center Llc,"195 Eastern Blvd, Glastonbury, CT 06033",42.1248082,-72.5857784,Item,sites/AnalyticsTeam/Lists/CT Destinations
GLENS FALLS HOSP - WRIGHT/TORNIER,Glens Falls Hospital,Glens Falls Hospital,Hartford Hub,GLENS FALLS HOSP,Glens Falls Hospital,"100 Park St, Glens Falls, NY 12801",42.1248082,-73.6455689,Item,sites/AnalyticsTeam/Lists/CT Destinations
GOOD SAMARITAN HOSP - WRIGHT/TORNIER,Good Samaritan Hospital,,Hartford Hub,GOOD SAMARITAN HOSP,Good Samaritan Hospital,"255 Lafayette Ave, Suffern, NY 10901",42.1248082,-74.1347769,Item,sites/AnalyticsTeam/Lists/CT Destinations
GREENWICH HOSPITAL - WRIGHT/TORNIER,Greenwich Hospital,,Hartford Hub,GREENWICH HOSP HOLLY HILL,Greenwich Hospital Holly Hill,"5 Perryridge Rd, Greenwich, CT 06830",42.1248082,-73.6302569,Item,sites/AnalyticsTeam/Lists/CT Destinations
GRIFFIN HOSP,Griffin Hospital,Griffin Hospital,ANC East Hartford (F01),GRIFFIN HOSP,Griffin Hospital,"130 Division St, Derby, CT 06418",42.1248082,-73.08904,Item,sites/AnalyticsTeam/Lists/CT Destinations
GRIFFIN HOSP - WRIGHT/TORNIER,Griffin Hospital,Griffin Hospital,Hartford Hub,GRIFFIN HOSP,Griffin Hospital,"130 Division St, Derby, CT 06418",42.1248082,-73.08904,Item,sites/AnalyticsTeam/Lists/CT Destinations
GUILFORD SURGICAL CTR,Guilford Surgical Center,,ANC East Hartford (F01),GUILFORD SURGICAL CTR,Guilford Surgical Center,"246 Goose Ln, STE 203, Guilford, CT 06437",42.1248082,-72.668139,Item,sites/AnalyticsTeam/Lists/CT Destinations
GUTHRIE CORNING HOSP - WRIGHT/TORNIER,Guthrie Corning Hospital,Guthrie Corning Hospital,Hartford Hub,GUTHRIE HLTHCR,Guthrie Healthcare,"1 Guthrie Dr, Corning, NY 14830",42.1248082,-76.9698868,Item,sites/AnalyticsTeam/Lists/CT Destinations
GUTHRIE HEALTH CARE - WRIGHT/TORNIER,Guthrie Health Care,Guthrie Health Care,Hartford Hub,GUTHRIE HLTHCR,Guthrie Healthcare,"1 Guthrie Sq, Sayre, PA 18840",42.1248082,-76.5208228,Item,sites/AnalyticsTeam/Lists/CT Destinations
HARTFORD HOSP,Hartford Hospital,Hartford Hospital,ANC East Hartford (F01),HARTFORD HOSP,Hartford Hospital,"80 Seymour St, Hartford, CT 06102",42.1248082,-72.6802372,Item,sites/AnalyticsTeam/Lists/CT Destinations
HARTFORD SURG CTR,Hartford Surg Center,Hartford Hospital,ANC East Hartford (F01),HARTFORD SURG CTR,Hartford Surg Center,"100 Retreat Ave, STE 100, Hartford, CT 06106",42.1248082,-72.6786546,Item,sites/AnalyticsTeam/Lists/CT Destinations
HHC HARTFORD SURG CTR,Hhc Hartford Surg Center,Hartford Hospital,ANC East Hartford (F01),HHC HARTFORD SURG CTR,Hhc Hartford Surg Center,"31 Seymour St, STE 300, Hartford, CT 06106",42.1248082,-72.6815433,Item,sites/AnalyticsTeam/Lists/CT Destinations
HIGHLAND HOSP ROCHESTER - WRIGHT/TORNIER - HAR,Highland Hospital Rochester - Har,,Hartford Hub,NEW HOSPITAL,New Hospital,"1000 South Ave, Rochester, NY 14620",42.1248082,-77.6061914,Item,sites/AnalyticsTeam/Lists/CT Destinations
Holly Hill ASC - WRIGHT/TORNIER,Holly Hill Asc,,Hartford Hub,GREENWICH HOSP HOLLY HILL,Greenwich Hospital Holly Hill,"55 Holly Hill Ln, Greenwich, CT 06830",42.1248082,-73.646728,Item,sites/AnalyticsTeam/Lists/CT Destinations
HOLYOKE MED CTR,Holyoke Med Center,Holyoke Med Center,ANC East Hartford (F01),SETON SOUTHWEST HLTHCARE,Seton Southwest Healthcare,"575 Beech St, Holyoke, MA 01040",42.1248082,-72.6280209,Item,sites/AnalyticsTeam/Lists/CT Destinations
HOLYOKE MED CTR - WRIGHT/TORNIER,Holyoke Med Center,Holyoke Med Center,Hartford Hub,HOLYOKE MED CTR,Holyoke Med Center,"575 Beech St, Holyoke, MA 01040",42.1248082,-72.6280209,Item,sites/AnalyticsTeam/Lists/CT Destinations
HOSP OF CENTRAL CT AT NEW BRITAIN,Hospital Of Central Ct At New Britain,Hospital Of Central Ct At New Britain,ANC East Hartford (F01),HOSP OF CENTRAL CT AT NEW BRITAIN,Hospital Of Central Ct At New Britain,"100 Grand St, New Britain, CT 06052",42.1248082,-72.7869165,Item,sites/AnalyticsTeam/Lists/CT Destinations
HOSP OF CENTRAL CT AT NEW BRITAIN - WRIGHT/TORNIER,Hospital Of Central Ct At New Britain,Hospital Of Central Ct At New Britain,Hartford Hub,HOSP OF CENTRAL CT AT NEW BRITAIN,Hospital Of Central Ct At New Britain,"100 Grand St, New Britain, CT 06052",42.1248082,-72.7869165,Item,sites/AnalyticsTeam/Lists/CT Destinations
JOHN R OISHEI CHILDRENS HOSP-WRIGHT/TORNEIR HHAR,John R Oishei Childrens Hospital-Wright/Torneir Hhar,,Hartford Hub,JOHN R OISHEI CHILDRENS HOSP,John R Oishei Childrens Hospital,"818 Ellicott St, Buffalo, NY 14203",42.1248082,-78.867779,Item,sites/AnalyticsTeam/Lists/CT Destinations
JOHNSON AMBLTORY SURG CTR,Johnson Ambulatory Surgery Center,Johnson Ambulatory Surgery Center,ANC East Hartford (F01),JOHNSON AMBLTORY SURG CTR,Johnson Ambltory Surg Center,"148 Hazard Ave, Enfield, CT 06082",42.1248082,-72.5593921,Item,sites/AnalyticsTeam/Lists/CT Destinations
JOHNSON MEMORIAL HOSP,Johnson Memorial Hospital,Johnson Memorial Hospital,ANC East Hartford (F01),JOHNSON MEMORIAL HOSP,Johnson Memorial Hospital,"201 Chestnut Hill Rd, Stafford, CT 06076",42.1248082,-72.3909527,Item,sites/AnalyticsTeam/Lists/CT Destinations
JOHNSON MEMORIAL HOSP-1,Johnson Ambulatory Surgery Center,Johnson Ambulatory Surgery Center,ANC East Hartford (F01),JOHNSON MEMORIAL HOSP,Johnson Memorial Hospital,"148 Hazard Ave, Enfield, CT 06082",42.1248082,-72.5593921,Item,sites/AnalyticsTeam/Lists/CT Destinations
KALEIDA HLTH - WRIGHT/TORNIER - HHAR,Kaleida Hlth,,Hartford Hub,KALEIDA HEALTH,Kaleida Health,"1540 Maple Rd, Williamsville, NY 14221",42.1248082,-78.7298953,Item,sites/AnalyticsTeam/Lists/CT Destinations
KALEIDA HLTH BUFFALO GEN  CTR-WRIGHT/TORNIER HHAR,Kaleida Health Buffalo Gen Hospital,Kaleida Health Buffalo Gen Hospital,Hartford Hub,KALEIDA HEALTH,Kaleida Health,"100 High St, Buffalo, NY 14203",42.1248082,-78.8666618,Item,sites/AnalyticsTeam/Lists/CT Destinations
KALEIDA HLTH BUFFALO GEN HOSP - WRIGHT/TORNIER - HHAR,Kaleida Health Buffalo Gen Hospital,Kaleida Health Buffalo Gen Hospital,Hartford Hub,KALEIDA HEALTH,Kaleida Health,"100 High St, Buffalo, NY 14203",42.1248082,-78.8666618,Item,sites/AnalyticsTeam/Lists/CT Destinations
KENMORE MERCY HOSP - WRIGHT/TORNIER - HHAR,Kenmore Mercy Hospital,,Hartford Hub,A O  FOX MEMORIAL HOSP,A O  Fox Memorial Hospital,"2950 Elmwood Ave, Kenmore, NY 14217",42.1248082,-78.8804759,Item,sites/AnalyticsTeam/Lists/CT Destinations
KENT COUNTY MEMORIAL HOSP - WRIGHT/TORNIER,Kent County Memorial Hospital,,Hartford Hub,KENT COUNTY MEMORIAL HOSP,Kent County Memorial Hospital,"455 Toll Gate Rd, Warwick, RI 02886",42.1248082,-71.4772784,Item,sites/AnalyticsTeam/Lists/CT Destinations
LAWRENCE AND MEMORIAL HOSP - WRIGHT/TORNIER,Lawrence And Memorial Hospital,,Hartford Hub,LAWRENCE AND MEMORIAL HOSP,Lawrence And Memorial Hospital,"900 Bank St, New London, CT 06320",42.1248082,-72.1087526,Item,sites/AnalyticsTeam/Lists/CT Destinations
LAWRENCE HOSP - WRIGHT/TORNIER,Lawrence Hospital,,Hartford Hub,LAWRENCE HOSP,Lawrence Hospital,"55 Palmer Ave, Bronxville, NY 10708",42.1248082,-73.8368522,Item,sites/AnalyticsTeam/Lists/CT Destinations
LEWIS COUNTY GEN HOSP - WRIGHT/TORNIER,Lewis County Gen Hospital,Lewis County Gen Hospital,Hartford Hub,LEWIS COUNTY GEN HOSP,Lewis County Gen Hospital,"7785 N State St, Lowville, NY 13367",42.1248082,-75.4991891,Item,sites/AnalyticsTeam/Lists/CT Destinations
LEWIS CTY GEN HOSP - WRIGHT/TORNIER - HHAR,Lewis County Gen Hospital,Lewis County Gen Hospital,Hartford Hub,LEWIS COUNTY GEN HOSP,Lewis County Gen Hospital,"7785 N State St, Lowville, NY 13367",42.1248082,-75.4991891,Item,sites/AnalyticsTeam/Lists/CT Destinations
LIGHTHOUSE SURG CTR LLC,Lighthouse Surg Center Llc,St Francis Hospital And Med Center,ANC East Hartford (F01),LIGHTHOUSE SURG CTR LLC,Lighthouse Surg Center Llc,"129 Woodland St, Hartford, CT 06105",42.1248082,-72.6995542,Item,sites/AnalyticsTeam/Lists/CT Destinations
LIGHTHOUSE SURG CTR LLC - WRIGHT/TORNIER,Lighthouse Surg Center Llc,St Francis Hospital And Med Center,Hartford Hub,LIGHTHOUSE SURG CTR LLC,Lighthouse Surg Center Llc,"129 Woodland St, Hartford, CT 06105",42.1248082,-72.6995542,Item,sites/AnalyticsTeam/Lists/CT Destinations
LITCHFIELD HILLS SURG CTR,Litchfield Hills Surg Center,Litchfield Hills Surg Center,ANC East Hartford (F01),LITCHFIELD HILLS SURG CTR,Litchfield Hills Surg Center,"245 Alvord Park Rd, Torrington, CT 06790",42.1248082,-73.1031491,Item,sites/AnalyticsTeam/Lists/CT Destinations
LITCHFIELD HILLS SURG CTR - WRIGHT/TORNIER,Litchfield Hills Surg Center,Litchfield Hills Surg Center,Hartford Hub,LITCHFIELD HILLS SURG CTR,Litchfield Hills Surg Center,"245 Alvord Park Rd, Torrington, CT 06790",42.1248082,-73.1031491,Item,sites/AnalyticsTeam/Lists/CT Destinations
MADISON IRVING SURG. CTR - HHAR,Madison Irving Surg. Center,Madison Irving Surg. Center,Hartford Hub,NEW HOSPITAL,New Hospital,"475 Irving Ave, Syracuse, NY 13210",42.1248082,-76.1373373,Item,sites/AnalyticsTeam/Lists/CT Destinations
MANCHESTER MEMORIAL HOSP,Manchester Memorial Hospital,Manchester Memorial Hospital,ANC East Hartford (F01),MANCHESTER MEMORIAL HOSP,Manchester Memorial Hosp,"71 Haynes St, Manchester, CT 06040",42.1248082,-72.525646,Item,sites/AnalyticsTeam/Lists/CT Destinations
MANCHESTER MEMORIAL HOSP - WRIGHT/TORNIER,Manchester Memorial Hospital,Manchester Memorial Hospital,Hartford Hub,MANCHESTER MEMORIAL HOSP,Manchester Memorial Hosp,"71 Haynes St, Manchester, CT 06040",42.1248082,-72.525646,Item,sites/AnalyticsTeam/Lists/CT Destinations
MANCHESTER MEMORIAL HOSP-1,Manchester Memorial Hospital-1,Manchester Memorial Hospital-1,ANC East Hartford (F01),MANCHESTER MEMORIAL HOSP,Manchester Memorial Hosp,"460 Hartford Tpke, Vernon Rockville, CT 06066",42.1248082,-72.4784538,Item,sites/AnalyticsTeam/Lists/CT Destinations
MARY HITCHCOCK HOSP - WRIGHT/TORNIER,Mary Hitchcock Hospital,Mary Hitchcock Hospital,Hartford Hub,NEW HOSPITAL,New Hospital,"1 Medical Center Dr, Lebanon, NH 03756",42.1248082,-72.2726469,Item,sites/AnalyticsTeam/Lists/CT Destinations
MARY HITCHCOCK MEM HOSP - WRIGHT/TORNIER - HHAR,Mary Hitchcock Mem Hospital,Mary Hitchcock Mem Hospital,Hartford Hub,NEW HOSPITAL,New Hospital,"50 N Labombard Rd, Lebanon, NH 03766",42.1248082,-72.240408,Item,sites/AnalyticsTeam/Lists/CT Destinations
MARY IMOGENE BASSETT HOSP - WRIGHT/TORNIER,Mary Imogene Bassett Hospital,Mary Imogene Bassett Hospital,Hartford Hub,BASSETT HLTHCR,Bassett Hlthcr,"1 Atwell Rd, Cooperstown, NY 13326",42.1248082,-74.9230237,Item,sites/AnalyticsTeam/Lists/CT Destinations
MARY LANE HOSP,Mary Lane Hospital,Mary Lane Hospital,ANC East Hartford (F01),MARY LANE HOSP,Mary Lane Hosp,"85 South St, Ware, MA 01082",42.1248082,-72.2421767,Item,sites/AnalyticsTeam/Lists/CT Destinations
MASSENA MEM HOSP - WRIGHT/TORNIER - HHAR,Massena Mem Hospital,Massena Mem Hospital,Hartford Hub,NEW HOSPITAL,New Hospital,"1 Hospital Dr, Massena Springs, NY 13662",42.1248082,-74.9090795,Item,sites/AnalyticsTeam/Lists/CT Destinations
MCGIVNEY ADVANCED SURG CTR NEW HAVEN,Mcgivney Advanced Surg Center New Haven,Mcgivney Advanced Surg Center New Haven,ANC East Hartford (F01),MCGIVNEY ADVANCED SURG CTR NEW HAVEN,Mcgivney Advanced Surg Center New Haven,"789 Howard Ave, New Haven, CT 06519",42.1248082,-72.9356023,Item,sites/AnalyticsTeam/Lists/CT Destinations
MCGIVNEY SURG CTR,Mcgivney Surg Center,Mcgivney Surg Center,ANC East Hartford (F01),MCGIVNEY SURG CTR,Mcgivney Surg Center,"659 George St, New Haven, CT 06511",42.1248082,-72.9440902,Item,sites/AnalyticsTeam/Lists/CT Destinations
MCGIVNEY SURG CTR 212756,Mcgivney Surg Center,Mcgivney Surg Center,ANC East Hartford (F01),MCGIVNEY SURG CTR,Mcgivney Surg Center,"659 George St, New Haven, CT 06511",42.1248082,-72.9440902,Item,sites/AnalyticsTeam/Lists/CT Destinations
MERCY HOSP - WRIGHT/TORNIER,Mercy Hospital,Mercy Hospital,Hartford Hub,MERCY HOSP,Mercy Hosp,"271 Carew St, Springfield, MA 01104",42.1248082,-72.5923994,Item,sites/AnalyticsTeam/Lists/CT Destinations
MERCY HOSP ANC,Mercy Hospital,Mercy Hospital,ANC East Hartford (F01),MERCY HOSP,Mercy Hosp,"271 Carew St, Springfield, MA 01104",42.1248082,-72.5923994,Item,sites/AnalyticsTeam/Lists/CT Destinations
MIDDLESEX CTR FOR ADVANCED ORTHO SURG,Middlesex Center For Advanced Ortho Surg,Middlesex Center For Advanced Ortho Surg,ANC East Hartford (F01),MIDDLESEX CTR FOR ADVANCED ORTHO SURG,Middlesex Center For Advanced Ortho Surg,"510 Saybrook Rd, Middletown, CT 06457",42.1248082,-72.6253308,Item,sites/AnalyticsTeam/Lists/CT Destinations
MIDDLESEX CTR FOR ADVANCED ORTHO SURG - WRIGHT/TORNIER,Middlesex Center For Advanced Ortho Surg,Middlesex Center For Advanced Ortho Surg,Hartford Hub,MIDDLESEX CTR ADVANCED ORTHO SURG,Middlesex Center Advanced Ortho Surg,"510 Saybrook Rd, Middletown, CT 06457",42.1248082,-72.6253308,Item,sites/AnalyticsTeam/Lists/CT Destinations
MIDDLESEX HOSP,Middlesex Hospital,Middlesex Hospital,ANC East Hartford (F01),MIDDLESEX HOSP,Middlesex Hosp,"28 Crescent St, Middletown, CT 06457",42.1248082,-72.6462073,Item,sites/AnalyticsTeam/Lists/CT Destinations
MIDDLESEX HOSP - WRIGHT/TORNIER,Middlesex Hospital,Middlesex Hospital,Hartford Hub,MIDDLESEX HOSP,Middlesex Hosp,"28 Crescent St, Middletown, CT 06457",42.1248082,-72.6462073,Item,sites/AnalyticsTeam/Lists/CT Destinations
MIDHUDSON REG HOSP  WESTCHESTER MC - WRIGHT/TORNIER,Midhudson Reg Hospital  Westchester Mc,Midhudson Reg Hospital Westchester Mc,Hartford Hub,MIDHUDSON REG HOSP  WESTCHESTER MC,Midhudson Reg Hosp  Westchester Mc,"241 North Rd, Poughkeepsie, NY 12601",42.1248082,-73.9281017,Item,sites/AnalyticsTeam/Lists/CT Destinations
MIDSTATE MED CTR,Midstate Med Center,Midstate Med Center,ANC East Hartford (F01),MIDSTATE MED CTR,Midstate Med Center,"435 Lewis Ave, Meriden, CT 06451",42.1248082,-72.8007712,Item,sites/AnalyticsTeam/Lists/CT Destinations
MIDSTATE MED CTR - WRIGHT/TORNIER,Midstate Med Center,Midstate Med Center,Hartford Hub,MIDSTATE MED CTR,Midstate Med Center,"435 Lewis Ave, Meriden, CT 06451",42.1248082,-72.8007712,Item,sites/AnalyticsTeam/Lists/CT Destinations
MILLARD FILLMORE SUBURBAN HOSP - WRIGHT/TORNIER - HHAR,Millard Fillmore Suburban Hospital,Millard Fillmore Suburban Hospital,Hartford Hub,MILLARD FILLMORE SUBURBAN,Millard Fillmore Suburban,"726 Exchange St, Buffalo, NY 14210",42.1248082,-78.8498859,Item,sites/AnalyticsTeam/Lists/CT Destinations
MIRIAM HOSP - WRIGHT/TORNIER,Miriam Hospital,,Hartford Hub,MIRIAM HOSP,Miriam Hosp,"164 Summit Ave, Providence, RI 02906",42.1248082,-71.3980063,Item,sites/AnalyticsTeam/Lists/CT Destinations
MONTEFIORE NYACK HOSP - WRIGHT/TORNIER,Montefiore Nyack Hospital,,Hartford Hub,MONTEFIORE NYACK HOSP,Montefiore Nyack Hosp,"160 N Midland Ave, Nyack, NY 10960",42.1248082,-73.9260529,Item,sites/AnalyticsTeam/Lists/CT Destinations
MOUNT SINAI HOSP ST FRANCIS,Mount Sinai Hospital St Francis,Mount Sinai Hospital St Francis,ANC East Hartford (F01),MOUNT SINAI HOSP ST FRANCIS,Mount Sinai Hosp St Francis,"500 Blue Hills Ave, Hartford, CT 06112",42.1248082,-72.6946265,Item,sites/AnalyticsTeam/Lists/CT Destinations
MOUNT SINAI HOSP ST FRANCIS - WRIGHT/TORNIER,Mount Sinai Hospital St Francis,Mount Sinai Hospital St Francis,Hartford Hub,MOUNT SINAI HOSP ST FRANCIS,Mount Sinai Hosp St Francis,"500 Blue Hills Ave, Hartford, CT 06112",42.1248082,-72.6946265,Item,sites/AnalyticsTeam/Lists/CT Destinations
MT ASCUTNEY HOSP - WRIGHT/TORNIER - HHAR,Mt Ascutney Hospital,,Hartford Hub,Mt Ascutney Hospital,Mt Ascutney Hospital,"1 County Rd, Windsor, VT 05089",42.1248082,-72.4338448,Item,sites/AnalyticsTeam/Lists/CT Destinations
MT ST MARYS HOSP - WRIGHT/TORNIER - HHAR,Mt St Marys Hospital,,Hartford Hub,Mt St Marys Hospital,Mt St Marys Hospital,"5300 Military Rd, Lewiston, NY 14092",42.1248082,-79.0330756,Item,sites/AnalyticsTeam/Lists/CT Destinations
NEW BRITAIN GENERAL HSP,New Britain General Hsp,,ANC East Hartford (F01),NEW BRITAIN GENERAL HSP,New Britain General Hsp,"100 Grand St, New Britain, CT 06052",42.1248082,-72.7869165,Item,sites/AnalyticsTeam/Lists/CT Destinations
NEW LONDON HOSP - WRIGHT/TORNIER - HHAR,New London Hospital,,Hartford Hub,New London Hospital,New London Hospital,"273 County Rd, New London, NH 03257",42.1248082,-72.0004253,Item,sites/AnalyticsTeam/Lists/CT Destinations
NEW MILFORD HOSP,New Milford Hospital,New Milford Hospital,ANC East Hartford (F01),NEW MILFORD HOSP,New Milford Hosp,"21 Elm St, New Milford, CT 06776",42.1248082,-73.4094451,Item,sites/AnalyticsTeam/Lists/CT Destinations
NEW MILFORD HOSP - WRIGHT/TORNIER,New Milford Hospital,New Milford Hospital,Hartford Hub,NEW MILFORD HOSP,New Milford Hosp,"21 Elm St, New Milford, CT 06776",42.1248082,-73.4094451,Item,sites/AnalyticsTeam/Lists/CT Destinations
NEWPORT HOSP - WRIGHT/TORNIER,Newport Hospital,,Hartford Hub,NEWPORT HOSP,Newport Hosp,"11 Friendship St, Newport, RI 02840",42.1248082,-71.3058796,Item,sites/AnalyticsTeam/Lists/CT Destinations
NIAGARA FALLS MEMORIAL MED CTR - WRIGHT-TORNIER,Niagara Falls Memorial Med Center,,Hartford Hub,NEW HOSPITAL,New Hospital,"621 10th St, Niagara Falls, NY 14301",42.1248082,-79.0498697,Item,sites/AnalyticsTeam/Lists/CT Destinations
NORTH COUNTRY HOSP - WRIGHT/TORNIER,North Country Hospital,North Country Hospital,Hartford Hub,NORTH COUNTRY HOSP,North Country Hosp,"189 Prouty Dr, Newport, VT 05855",42.1248082,-72.2001756,Item,sites/AnalyticsTeam/Lists/CT Destinations
NORTHEAST ALLIANCE SURG CTR,Northeast Alliance Surg Center,,ANC East Hartford (F01),NORTHEAST ALLIANCE SURG CTR,Northeast Alliance Surg Center,"2080 Whitney Ave, Hamden, CT 06518",42.1248082,-72.9059278,Item,sites/AnalyticsTeam/Lists/CT Destinations
NORTHERN  WESTCHESTER HOSP - WRIGHT/TORNIER,Northern  Westchester Hospital,,Hartford Hub,NORTHERN  WESTCHESTER HOSP,Northern  Westchester Hosp,"400 E Main St, Mount Kisco, NY 10549",42.1248082,-73.7246155,Item,sites/AnalyticsTeam/Lists/CT Destinations
NORTHERN DUTCHESS - WRIGHT/TORNIER,Northern Dutchess,,Hartford Hub,NORTHERN DUTCHESS,Northern Dutchess,"6511 Spring Brook Ave, Rhinebeck, NY 12572",42.1248082,-73.9131564,Item,sites/AnalyticsTeam/Lists/CT Destinations
NORTHWESTERN MED CTR - WRIGHT/TORNIER,Northwestern Med Center,,Hartford Hub,NORTHWESTERN MED CTR,Northwestern Med Center,"113 Fairfield St, St Albans, VT 05478",42.1248082,-73.0748857,Item,sites/AnalyticsTeam/Lists/CT Destinations
NORWALK HOSP - WRIGHT/TORNIER,Norwalk Hospital,,Hartford Hub,NEW HOSPITAL,New Hospital,"34 Maple St, Norwalk, CT 06850",42.1248082,-73.4215597,Item,sites/AnalyticsTeam/Lists/CT Destinations
NORWALK SURG CTR LLC,Norwalk Surg Center Llc,,ANC East Hartford (F01),SETON SOUTHWEST HLTHCARE,Seton Southwest Hlthcare,"40 Cross St, STE 120, Norwalk, CT 06851",42.1248082,-73.4184796,Item,sites/AnalyticsTeam/Lists/CT Destinations
NOYES MEM HOSP - WRIGHT/TORNIER,Noyes Mem Hospital,,Hartford Hub,NEW HOSPITAL,New Hospital,"111 Clara Barton St, Dansville, NY 14437",42.1248082,-77.6978096,Item,sites/AnalyticsTeam/Lists/CT Destinations
NW MED CTR - WRIGHT/TORNIER - HHAR,Nw Med Center,,Hartford Hub,NEW HOSPITAL,New Hospital,"133 Fairfield St, St Albans, VT 05478",42.1248082,-73.0718954,Item,sites/AnalyticsTeam/Lists/CT Destinations
OLEAN GEN HOSP - WRIGHT/TORNIER - HHAR,Olean Gen Hospital,,Hartford Hub,ONEIDA HEALTHCARE,Oneida Healthcare,"515 Main St, Olean, NY 14760",42.1248082,-78.4276942,Item,sites/AnalyticsTeam/Lists/CT Destinations
ONEIDA HEALTH - WRIGHT/TORNIER,Oneida Health,,Hartford Hub,ONEIDA HEALTHCARE,Oneida Healthcare,"321 Genesee St, Oneida, NY 13421",42.1248082,-75.6540843,Item,sites/AnalyticsTeam/Lists/CT Destinations
ONEONTA SPECIALTY SVC - WRIGHT/TORNIER,Oneonta Specialty Svc,,Hartford Hub,ONEONTA SPECIALTY SVC,Oneonta Specialty Svc,"1 Associate Dr, Oneonta, NY 13820",42.1248082,-75.0847494,Item,sites/AnalyticsTeam/Lists/CT Destinations
ORTHO RHODE ISLAND - WRIGHT/TORNIER,Ortho Rhode Island,,Hartford Hub,ORTHO RHODE ISLAND,Ortho Rhode Island,"300 Crossings Blvd, Warwick, RI 02886",42.1248082,-71.468803,Item,sites/AnalyticsTeam/Lists/CT Destinations
ORTHO SPECIALTY SURG CTR - WRIGHT/TORNIER,Orthopaedic Specialty Surgery Center,Orthopaedic Specialty Surgery Center,Hartford Hub,ORTHO SPECIALTY SURG CTR,Ortho Specialty Surg Center,"40 Old Ridgebury Rd, Danbury, CT 06810",42.1248082,-73.5147734,Item,sites/AnalyticsTeam/Lists/CT Destinations
ORTHOPAEDIC SPECIALTY SURGERY CENTER,Orthopaedic Specialty Surgery Center,Orthopaedic Specialty Surgery Center,ANC East Hartford (F01),ORTHOPEDIC SEPCIALTY SURGERY CTR,Orthopedic Sepcialty Surgery Center,"40 Old Ridgebury Rd, Danbury, CT 06810",42.1248082,-73.5147734,Item,sites/AnalyticsTeam/Lists/CT Destinations
ORTHOPEDIC ASSOCS SURG CTR,Orthopedic Assocs Surg Center,Orthopedic Assocs Surg Center,ANC East Hartford (F01),ORTHO ASSOCS SURG CTR,Ortho Assocs Surg Center,"150 Enterprise Dr, Rocky Hill, CT 06067",42.1248082,-72.6662085,Item,sites/AnalyticsTeam/Lists/CT Destinations
ORTHOPEDIC ASSOCS SURG CTR (ROCKY HILL) - WRIGHT/TORNIER,Orthopedic Assocs Surg Center,Orthopedic Assocs Surg Center,Hartford Hub,ORTHO ASSOCS SURG CTR,Ortho Assocs Surg Center,"150 Enterprise Dr, Rocky Hill, CT 06067",42.1248082,-72.6662085,Item,sites/AnalyticsTeam/Lists/CT Destinations
OUR LADY OF LOURDES MEMORIAL HOSP - WRIGHT/TORNIER,Our Lady Of Lourdes Memorial Hospital,,Hartford Hub,OUR LADY OF LOURDES,Our Lady Of Lourdes,"169 Riverside Dr, Binghamton, NY 13905",42.1248082,-75.9362283,Item,sites/AnalyticsTeam/Lists/CT Destinations
PARK AVE MED CTR,Park Ave Med Center,Park Ave Med Center,ANC East Hartford (F01),YALE NEW HAVEN HOSP,Yale New Haven Hosp,"5520 Park Ave, Trumbull, CT 06611",42.1248082,-73.2422104,Item,sites/AnalyticsTeam/Lists/CT Destinations
PIONEER VALLEY SURGI CTR,Pioneer Valley Surgi Center,Pioneer Valley Surgi Center,ANC East Hartford (F01),PIONEER VALLEY SURGI CTR,Pioneer Valley Surgi Center,"3550 Main St, Springfield, MA 01107",42.1248082,-72.6124665,Item,sites/AnalyticsTeam/Lists/CT Destinations
PORTER MED CTR - WRIGHT/TORNIER - HHAR,Porter Med Center,Porter Med Center,Hartford Hub,PORTER MED CTR,Porter Med Center,"115 Porter Dr, Middlebury, VT 05753",42.1248082,-73.1678181,Item,sites/AnalyticsTeam/Lists/CT Destinations
PRISMA HEALTH PATEWOOD OUTPATIENT SURG CTR,Prisma Health Patewood Outpatient Surg Center,Prisma Health Patewood Outpatient Surg Center,ANC East Hartford (F01),GREENVILLE HOSP SYSTEM,Greenville Hosp System,"200 Patewood Dr, Greenville, SC 29615",42.1248082,-82.3246014,Item,sites/AnalyticsTeam/Lists/CT Destinations
PUTNAM HOSP CTR - WRIGHT/TORNIER,Putnam Hospital Center,Putnam Hospital Center,Hartford Hub,PUTNAM HOSP CTR,Putnam Hosp Center,"670 Stoneleigh Ave, Carmel, NY 10512",42.1248082,-73.6632213,Item,sites/AnalyticsTeam/Lists/CT Destinations
RHODE ISLAND HOSP - WRIGHT/TORNIER,Rhode Island Hospital,Rhode Island Hospital,Hartford Hub,RHODE ISLAND HOSP,Rhode Island Hosp,"539 Eddy St, Providence, RI 02903",42.1248082,-71.4071213,Item,sites/AnalyticsTeam/Lists/CT Destinations
